No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Supplier Part
1,1,HX PH2.0-2PWT,BAT,CONN-SMD_2P-P2.00,,HX PH2.0-2PWT,C22461285
2,3,100nF,"C5,C6,C7",C0603,100nF,CC0603KRX7R9BB104,C14663
3,8,47uF,"C09,C10,C11,C12,C15,C16,C17,C19",C0805,47uF,JMK212BJ476MG-T,C87159
4,4,KF332J-3.5-2P BLACK,"H1,H2,H3,H4",HDR-TH_2P-P3.50-V-M_1,,KF332J-3.5-2P BLACK,C19711761
5,3,TMM-101-01-G-S,"H5,H6,H7",HDR-TH_TMM-101-06-L-S,,TMM-101-01-G-S,C5986197
6,2,XL-1608SURC-06,"LED1,LED2",LED0603-RD_RED,,XL-1608SURC-06,C965799
7,2,PSC-1608U50GC-G4,"LED3,LED4",LED0603-RD_GREEN,,PSC-1608U50GC-G4,C22371298
8,5,100N03A,"Q1,Q2,Q3,Q4,Q6",TO-252-2_L6.6-W6.1-P4.57-LS9.9-BR-CW,,100N03A,C668200
9,1,SI2302-HXY,Q5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,SI2302-HXY,C4748714
10,8,10kΩ,"R1,R2,R3,R4,R9,R10,R13,R14",R0603,10kΩ,0603WAF1002T5E,C25804
11,4,470Ω,"R5,R6,R7,R8",R0603,470Ω,0603WAF4700T5E,C23179
12,1,MK-12C03-G015,SW3,SW-SMD_MK-12C03-G015,,MK-12C03-G015,C2890358
13,1,NanoCell,U1,NanoCell,,,
14,1,MPU-6050 module,U2,MPU-6050 module,,,
15,1,XC6206P182MR,U5,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,XC6206P182MR,C22466430
16,1,ICM-20948,U6,QFN-24_L3.0-W3.0-P0.40-BL-EP,,ICM-20948,C726001
,,,,,,,
